Approach,Operation,Database Size (vectors),Query Ciphertexts,Batch Size,Query Encryption (seconds),Depth,Similarity Computation (seconds),Similarity Ciphertexts
,,4096,,4096,0.00615699,1,0.777239,
,,8192,,4096,0.00517749,1,0.789993,
,,16384,,4096,0.00880134,1,1.28027,
,,32768,,4096,0.00462361,1,1.56018,
,,65536,,4096,0.00427901,1,3.29331,
,,131072,,4096,0.00424277,1,5.971,
,,262144,,4096,0.00356311,1,8.49152,
,,524288,,4096,0.00402313,1,14.9985,
,,1048576,,4096,0.0035558,1,26.9313,
,,2097152,,4096,0.00530063,1,54.1116,
,,4194304,,4096,0.00452915,1,111.284,
,,8388608,,4096,0.00429653,1,203.238,
,,16777216,,4096,,1,,
