Dataset,Vectors,Exit Code,Peak Memory MB,Peak Memory Raw
2_12.dat,4096,0,839.762,839.762MB
2_13.dat,8192,0,877.040,877.040MB
2_14.dat,16384,0,942.289,942.289MB
2_15.dat,32768,0,1076.589,1076.589MB
2_16.dat,65536,0,1567.941,1567.941MB
2_17.dat,131072,0,2651.734,2651.734MB
2_18.dat,262144,0,4816.794,4816.794MB
2_19.dat,524288,0,9145.938,9145.938MB
2_20.dat,1048576,0,17800.712,17800.712MB
2_21.dat,2097152,0,35118.809,35118.809MB
2_22.dat,4194304,0,69742.350,69742.350MB
2_23.dat,8388608,0,138973.774,138973.774MB
2_24.dat,16777216,137,267528.200,267528.200MB
